id,x,y
"1","91.83231627","22.34817778"
"2","91.80024381","22.3247704"
"3","91.80348126","22.39401169"
"4","91.85344367","22.35046382"
"5","91.84919284","22.37257402"
"6","91.78815632","22.35365416"
"7","91.80228811","22.45040822"
"8","91.80180909","22.40994255"
"9","91.82297115","22.32443161"
"10","91.80178353","22.32007112"
"11","91.7913699","22.34885861"
"12","91.83774591","22.32576381"
"13","91.77669629","22.36461524"
"14","91.7677171","22.36024839"
"15","91.76858641","22.37019634"
"16","91.81370055","22.25331608"
"17","91.85822916","22.35117416"
"18","91.78693434","22.38149996"
"19","91.78507744","22.30293675"
"20","91.88182831","22.42133546"
"21","91.81953087","22.33730094"
"22","91.78510059","22.24805279"
"23","91.81817932","22.40491429"
"24","91.77954092","22.31244296"
"25","91.78488573","22.28553939"
"26","91.83552088","22.36480229"
"27","91.77513768","22.29984121"
"28","91.80934886","22.42017033"
"29","91.77469558","22.33270095"
"30","91.79171428","22.3467288"
"31","91.81080351","22.24425906"
"32","91.78979382","22.31773033"
"33","91.7923892","22.36283759"
"34","91.84165521","22.3646505"
"35","91.79606277","22.34854537"
"36","91.7601882","22.33105698"
"37","91.81763733","22.37703598"
"38","91.84946615","22.38035162"
"39","91.79801558","22.38331646"
"40","91.84369878","22.40298684"
"41","91.88008033","22.41050356"
"42","91.81900075","22.41324912"
"43","91.86158798","22.39079495"
"44","91.8282473","22.34256453"
"45","91.77117959","22.36096778"
"46","91.78455983","22.43211529"
"47","91.75784038","22.3497014"
"48","91.83090432","22.39748761"
"49","91.78277784","22.44499394"
"50","91.78445573","22.28441976"
"51","91.78642511","22.32103939"
"52","91.81695828","22.37384608"
"53","91.85191535","22.34707128"
"54","91.87577272","22.41569003"
"55","91.81804325","22.39058756"
"56","91.77132306","22.3210873"
"57","91.85117293","22.3308015"
"58","91.79592187","22.29960303"
"59","91.80815093","22.38524636"
"60","91.86750488","22.37178399"
"61","91.80099945","22.22805197"
"62","91.88872166","22.4283743"
"63","91.78915987","22.30174798"
"64","91.88113174","22.41458925"
"65","91.8160456","22.46409036"
"66","91.83139295","22.33477603"
"67","91.78222968","22.37085533"
"68","91.79521958","22.26760794"
"69","91.77698882","22.28253231"
"70","91.8175061","22.34984552"
"71","91.83085651","22.26259776"
"72","91.87525272","22.39723783"
"73","91.79782111","22.33126432"
"74","91.79530291","22.45743773"
"75","91.77908642","22.32319012"
"76","91.86967312","22.35502263"
"77","91.78146722","22.33022345"
"78","91.8109049","22.43363664"
"79","91.81356354","22.39692581"
"80","91.79325806","22.36152712"
"81","91.83221375","22.37534302"
"82","91.79757879","22.40663154"
"83","91.77555682","22.36363686"
"84","91.78329068","22.25251432"
"85","91.81978966","22.24332958"
"86","91.82239213","22.35678762"
"87","91.79686126","22.33243359"
"88","91.76935605","22.33811134"
"89","91.83403228","22.34693623"
"90","91.82654449","22.40526409"
"91","91.80114774","22.40577482"
"92","91.79571432","22.36097183"
"93","91.8031571","22.24230358"
"94","91.77868745","22.30863076"
"95","91.81927893","22.33892792"
"96","91.80547436","22.2391444"
"97","91.8606947","22.39756902"
"98","91.85369006","22.36215084"
"99","91.78028071","22.43757214"
"100","91.80551483","22.32401992"
